id_1,id_2
17185,29115
17185,31324
17185,23228
17185,23206
17186,29094
17186,3416
17186,31659
17186,33952
17186,35171
17186,21966
17186,25477
17186,26997
17186,19145
17186,32706
17186,20760
35536,24280
35536,28957
35536,17445
35536,21582
35536,17593
17187,2603
17187,37359
17187,31890
17187,33070
17188,23589
17188,26753
17188,34603
17188,29589
17188,26877
17188,17773
17188,22167
17188,23764
17188,21860
17188,26045
17188,33029
17188,20236
17188,30762
17188,30154
17188,36337
17188,19786
17188,26956
17188,29082
17188,32066
17188,33112
17188,21471
17188,35008
17189,19222
17189,19028
17190,29444
17190,31890
17190,28014
17190,18589
11193,19645
11193,8054
11193,37651
11193,22886
11193,32684
17192,23589
17192,35773
17192,34536
17192,28532
17192,31890
17192,35008
17193,30158
17193,30373
17193,36708
17193,19358
17193,24376
17193,25477
17193,31219
17193,35401
17194,3741
31514,20358
17195,33643
17195,29115
17195,3712
17195,18028
17195,26651
17195,24969
17195,34919
17195,31890
17195,17675
17196,24053
17196,32066
17196,34877
17196,18163
17196,30958
17197,23985
17197,21987
17197,20084
17197,24339
17197,31099
17197,17933
17197,25947
17197,30378
17197,18955
17197,22030
17197,20535
17197,31764
17197,18547
17197,28957
17197,28735
17197,33279
17197,33296
17197,28367
17197,28974
17197,23044
17197,19040
17197,23919
17197,20139
17197,22291
17197,34205
17197,9637
17197,34195
17197,9144
17197,37297
17197,20927
17197,17446
17197,26609
17197,20312
17197,6032
17197,26461
17197,21375
17197,22872
17197,26085
17197,18822
35090,24402
35090,32753
35090,26556
35090,15191
35090,32373
35090,22329
35090,35703
35090,30403
35090,2316
35090,22763
35090,29827
35090,19191
35090,16916
35090,13647
35090,25608
35090,20296
35090,34652
35090,31917
35090,9603
35090,22899
35090,34349
35090,22353
35090,25249
35090,19179
35090,35419
35090,26328
35090,29350
35090,30461
35090,21864
35090,13598
35090,29912
35090,7513
35090,37690
35090,28422
35090,24541
35090,12436
35090,29078
35090,29234
35090,23664
35090,30773
35090,27370
35090,35773
35090,30235
35090,32666
35090,36668
35090,3712
17199,22888
17199,23973
17200,19879
17200,17010
17200,23083
17201,33923
17202,18576
17202,28957
17202,35773
17202,22151
17202,24168
17202,28908
17202,24113
17202,15940
17202,22170
17202,22687
17202,16119
17202,31890
17202,24351
17202,30461
17202,13698
17202,24841
17202,24568
17202,32295
17202,19488
17202,37496
17202,23707
17202,22489
17202,19253
17202,34276
